Algoritmo,Tamanho do vetor,Tempo de execucao
Insertion Sort,60,0
Insertion Sort,70,0
Insertion Sort,80,0
Insertion Sort,90,0
Insertion Sort,100,0
Insertion Sort,200,0
Insertion Sort,300,0
Insertion Sort,400,0
Insertion Sort,500,0
Insertion Sort,600,0
Insertion Sort,700,0
Insertion Sort,800,0
Insertion Sort,900,1.000
Insertion Sort,1000,0
Insertion Sort,2000,1.000
Insertion Sort,3000,3.000
Insertion Sort,4000,5.000
Insertion Sort,5000,7.000
Insertion Sort,6000,9.000
Insertion Sort,7000,15.000
Insertion Sort,8000,19.000
Insertion Sort,9000,19.000
Insertion Sort,10000,24.000
Insertion Sort,20000,91.000
Insertion Sort,30000,205.000
Insertion Sort,40000,337.000
Insertion Sort,50000,536.000
Insertion Sort,60000,766.000
Insertion Sort,70000,1.044.000
Insertion Sort,80000,1.344.000
Insertion Sort,90000,1.753.000
Insertion Sort,100000,2.129.000
Insertion Sort,200000,8.370.000
Insertion Sort,300000,19.032.000
Insertion Sort,400000,33.988.000
Insertion Sort,500000,52.832.000
Insertion Sort,600000,75.950.000
Insertion Sort,700000,104.729.000
Insertion Sort,800000,135.203.000
Insertion Sort,900000,171.473.000
Insertion Sort,1000000,212.630.000
Quick Sort,10,0
Quick Sort,20,0
Quick Sort,30,0
Quick Sort,40,0
Quick Sort,50,0
Quick Sort,60,0
Quick Sort,70,0
Quick Sort,80,0
Quick Sort,90,0
Quick Sort,100,0
Quick Sort,200,0
Quick Sort,300,0
Quick Sort,400,0
Quick Sort,500,0
Quick Sort,600,0
Quick Sort,700,0
Quick Sort,800,0
Quick Sort,900,0
Quick Sort,1000,0
Quick Sort,2000,0
Quick Sort,3000,0
Quick Sort,4000,0
Quick Sort,5000,0
Quick Sort,6000,0
Quick Sort,7000,0
Quick Sort,8000,1.000
Quick Sort,9000,0
Quick Sort,10000,0
Quick Sort,20000,2.000
Quick Sort,30000,5.000
Quick Sort,40000,7.000
Quick Sort,50000,11.000
Quick Sort,60000,12.000
Quick Sort,70000,15.000
Quick Sort,80000,18.000
Quick Sort,90000,24.000
Quick Sort,100000,30.000
Quick Sort,200000,109.000
Quick Sort,300000,238.000
Quick Sort,400000,403.000
Quick Sort,500000,624.000
Quick Sort,600000,899.000
Quick Sort,700000,1.192.000
Quick Sort,800000,1.543.000
Quick Sort,900000,2.103.000
Quick Sort,1000000,2.407.000
Merge Sort,10,0
Merge Sort,20,0
Merge Sort,30,0
Merge Sort,40,0
Merge Sort,50,0
Merge Sort,60,0
Merge Sort,70,0
Merge Sort,80,0
Merge Sort,90,0
Merge Sort,100,0
Merge Sort,200,0
Merge Sort,300,0
Merge Sort,400,0
Merge Sort,500,0
Merge Sort,600,0
Merge Sort,700,0
Merge Sort,800,0
Merge Sort,900,0
Merge Sort,1000,0
Merge Sort,2000,0
Merge Sort,3000,0
Merge Sort,4000,1.000
Merge Sort,5000,0
Merge Sort,6000,0
Merge Sort,7000,0
Merge Sort,8000,1.000
Merge Sort,9000,1.000
Merge Sort,10000,1.000
Merge Sort,20000,1.000
Merge Sort,30000,3.000
Merge Sort,40000,3.000
Merge Sort,50000,3.000
Merge Sort,60000,4.000
Merge Sort,70000,5.000
Merge Sort,80000,6.000
Merge Sort,90000,7.000
Merge Sort,100000,8.000
Merge Sort,200000,20.000
Merge Sort,300000,26.000
Merge Sort,400000,31.000
Merge Sort,500000,41.000
Heap Sort,10,0
Heap Sort,20,0
Heap Sort,30,0
Heap Sort,40,0
Heap Sort,50,0
Heap Sort,60,0
Heap Sort,70,0
Heap Sort,80,0
Heap Sort,90,0
Heap Sort,100,0
Heap Sort,200,0
Heap Sort,300,0
Heap Sort,400,0
Heap Sort,500,0
Heap Sort,600,0
Heap Sort,700,0
Heap Sort,800,0
Heap Sort,900,0
Heap Sort,1000,0
Heap Sort,2000,0
Heap Sort,3000,1.000
Heap Sort,4000,0
Heap Sort,5000,1.000
Heap Sort,6000,0
Heap Sort,7000,1.000
Heap Sort,8000,1.000
Heap Sort,9000,1.000
Heap Sort,10000,2.000
Heap Sort,20000,2.000
Heap Sort,30000,3.000
Heap Sort,40000,4.000
Heap Sort,50000,5.000
Heap Sort,60000,7.000
Heap Sort,70000,7.000
Heap Sort,80000,10.000
Heap Sort,90000,10.000
Heap Sort,100000,12.000
Heap Sort,200000,24.000
Heap Sort,300000,40.000
Heap Sort,400000,49.000
Heap Sort,500000,65.000
Heap Sort,600000,80.000
Heap Sort,700000,90.000
Heap Sort,800000,105.000
Heap Sort,900000,118.000
Heap Sort,1000000,133.000
Bubble Sort Recursivo,10,0
Bubble Sort Recursivo,20,0
Bubble Sort Recursivo,30,0
Bubble Sort Recursivo,40,0
Bubble Sort Recursivo,50,0
Bubble Sort Recursivo,60,0
Bubble Sort Recursivo,70,0
Bubble Sort Recursivo,80,0
Bubble Sort Recursivo,90,0
Bubble Sort Recursivo,100,0
Bubble Sort Recursivo,200,0
Bubble Sort Recursivo,300,0
Bubble Sort Recursivo,400,0
Bubble Sort Recursivo,500,0
Bubble Sort Recursivo,600,1.000
Bubble Sort Recursivo,700,0
Bubble Sort Recursivo,800,1.000
Bubble Sort Recursivo,900,1.000
Bubble Sort Recursivo,1000,1.000
Bubble Sort Recursivo,2000,3.000
Bubble Sort Recursivo,3000,7.000
Bubble Sort Recursivo,4000,13.000
Bubble Sort Recursivo,5000,25.000
Bubble Sort Recursivo,6000,28.000
Bubble Sort Recursivo,7000,40.000
Bubble Sort Recursivo,8000,49.000
Bubble Sort Recursivo,9000,66.000
Bubble Sort Recursivo,10000,82.000
Bubble Sort Recursivo,20000,461.000
Bubble Sort Recursivo,30000,1.173.000
Bubble Sort Recursivo,40000,2.063.000
Selection Sort Recursivo,10,0
Selection Sort Recursivo,20,0
Selection Sort Recursivo,30,0
Selection Sort Recursivo,40,0
Selection Sort Recursivo,50,0
Selection Sort Recursivo,60,0
Selection Sort Recursivo,70,0
Selection Sort Recursivo,80,0
Selection Sort Recursivo,90,0
Selection Sort Recursivo,100,0
Selection Sort Recursivo,200,0
Selection Sort Recursivo,300,0
Selection Sort Recursivo,400,0
Selection Sort Recursivo,500,0
Selection Sort Recursivo,600,1.000
Selection Sort Recursivo,700,0
Selection Sort Recursivo,800,0
Selection Sort Recursivo,900,0
Selection Sort Recursivo,1000,0
Selection Sort Recursivo,2000,1.000
Selection Sort Recursivo,3000,2.000
Selection Sort Recursivo,4000,5.000
Selection Sort Recursivo,5000,8.000
Selection Sort Recursivo,6000,12.000
Selection Sort Recursivo,7000,17.000
Selection Sort Recursivo,8000,20.000
Selection Sort Recursivo,9000,26.000
Selection Sort Recursivo,10000,33.000
Selection Sort Recursivo,20000,128.000
Selection Sort Recursivo,30000,286.000
Selection Sort Recursivo,40000,525.000
Insertion Sort Recursivo,10,0
Insertion Sort Recursivo,20,0
Insertion Sort Recursivo,30,0
Insertion Sort Recursivo,40,0
Insertion Sort Recursivo,50,0
Insertion Sort Recursivo,60,0
Insertion Sort Recursivo,70,0
Insertion Sort Recursivo,80,0
Insertion Sort Recursivo,90,0
Insertion Sort Recursivo,100,0
Insertion Sort Recursivo,200,0
Insertion Sort Recursivo,300,0
Insertion Sort Recursivo,400,0
Insertion Sort Recursivo,500,0
Insertion Sort Recursivo,600,0
Insertion Sort Recursivo,700,1.000
Insertion Sort Recursivo,800,0
Insertion Sort Recursivo,900,0
Insertion Sort Recursivo,1000,0
Insertion Sort Recursivo,2000,2.000
Insertion Sort Recursivo,3000,2.000
Insertion Sort Recursivo,4000,4.000
Insertion Sort Recursivo,5000,8.000
Insertion Sort Recursivo,6000,9.000
Insertion Sort Recursivo,7000,11.000
Insertion Sort Recursivo,8000,16.000
Insertion Sort Recursivo,9000,19.000
Insertion Sort Recursivo,10000,22.000
Insertion Sort Recursivo,20000,88.000
Insertion Sort Recursivo,30000,196.000
Insertion Sort Recursivo,40000,340.000
